path,entity_type,code,priority,status,gsc_evidence,qa14_blockers_repaired,section_count,faq_count,internal_link_count,index_eligible,next_gate
"/zh/personality/istj-a","personality_profile_variant","ISTJ-A","P0","repair_package","OPS08 28d: 1 click / 23 impressions / position 9.0","answer_surface_gate|scenario_specificity_gate|faq_gate|template_marker_gate","8","9","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/istp-a","personality_profile_variant","ISTP-A","P0","repair_package","OPS08 28d: 0 clicks / 7 impressions / position 7.3; query export pending","answer_surface_gate|scenario_specificity_gate|faq_gate|template_marker_gate","8","9","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/isfp-a","personality_profile_variant","ISFP-A","P0","repair_package","Chrome GSC 7d: 1 click / 4 impressions / position 5.3","answer_surface_gate|scenario_specificity_gate|faq_gate|template_marker_gate","8","9","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/esfj-a","personality_profile_variant","ESFJ-A","P0","repair_package","OPS08 28d: 0 clicks / 1 impression / position 8.0","answer_surface_gate|scenario_specificity_gate|faq_gate|template_marker_gate","8","9","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/intp-a","personality_profile_variant","INTP-A","P0","verify_only_no_body_rewrite","Chrome GSC 7d: 1 click / 25 impressions / position 6.3; GSC11 captured query row: intp-a","","0","0","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/intp-a-vs-intp-t","at_comparison","intp-a-vs-intp-t","P0","repair_package","OPS08 28d: 0 clicks / 2 impressions / position 11.0; query export pending","scenario_specificity_gate|faq_gate","6","5","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/intj-vs-intp","hot_comparison","intj-vs-intp","P1","repair_package","OPS08 comparison backlog; no captured query row yet","scenario_specificity_gate|faq_gate","6","5","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/entj-vs-intj","hot_comparison","entj-vs-intj","P1","repair_package","OPS08 comparison backlog; no captured query row yet","scenario_specificity_gate|faq_gate","6","5","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/infj-vs-infp","hot_comparison","infj-vs-infp","P1","repair_package","OPS08 comparison backlog; no captured query row yet","scenario_specificity_gate|faq_gate","6","5","5","false","fap-api_import_dry_run_after_operator_approval"
"/zh/personality/istj-vs-isfj","hot_comparison","istj-vs-isfj","P1","repair_package","OPS08 comparison backlog; no captured query row yet","scenario_specificity_gate|faq_gate","6","5","5","false","fap-api_import_dry_run_after_operator_approval"
