target_url,path,locale,page_type,mbti_type,variant,page_clicks,page_impressions,page_ctr,page_average_position,query_rows_captured,query_terms,decision,allowed_next_action,blocked_reason,evidence_quality,recommended_next_task
https://fermatmind.com/en/personality/enfj-a,/en/personality/enfj-a,en,variant,ENFJ,A,0,21,0,26.9,1,enfj-a,READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW,include_in_visible_3_cms_projection_draft_dry_run_only,,query_backed_low_volume,MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01
https://fermatmind.com/en/personality/esfj-t,/en/personality/esfj-t,en,variant,ESFJ,T,0,15,0,26.7,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/zh/personality/intp-a,/zh/personality/intp-a,zh,variant,INTP,A,0,9,0,12.7,1,intp-a,READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW,include_in_visible_3_cms_projection_draft_dry_run_only,,query_backed_low_volume,MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01
https://fermatmind.com/en/personality/enfp-a,/en/personality/enfp-a,en,variant,ENFP,A,0,10,0,38.4,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/zh/personality/istp-a,/zh/personality/istp-a,zh,variant,ISTP,A,0,7,0,7.3,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/zh/personality/intp-a-vs-intp-t,/zh/personality/intp-a-vs-intp-t,zh,comparison,INTP,,0,2,0,11,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/en/personality/esfj-a,/en/personality/esfj-a,en,variant,ESFJ,A,0,3,0,26.7,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/zh/personality/esfp-a,/zh/personality/esfp-a,zh,variant,ESFP,A,0,1,0,7,1,esfp-a,READY_QUERY_BACKED_LOW_RISK_DRAFT_REVIEW,include_in_visible_3_cms_projection_draft_dry_run_only,,query_backed_low_volume,MBTI64-CMS-PROJECTION-DRAFT-VISIBLE-3-DRY-RUN-01
https://fermatmind.com/zh/personality/esfj-a,/zh/personality/esfj-a,zh,variant,ESFJ,A,0,1,0,8,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/en/personality/intp-a,/en/personality/intp-a,en,variant,INTP,A,0,1,0,9,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/en/personality/istp-a,/en/personality/istp-a,en,variant,ISTP,A,0,1,0,11,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/en/personality/entj-a,/en/personality/entj-a,en,variant,ENTJ,A,0,2,0,25,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
https://fermatmind.com/en/personality/estp-t,/en/personality/estp-t,en,variant,ESTP,T,0,2,0,46.5,0,,HOLD_QUERY_EVIDENCE_SUPPRESSED,hold_until_gsc_api_or_manual_query_csv_available,filtered_gsc_query_table_empty_or_suppressed,page_level_only_query_suppressed,MBTI64-GSC-QUERY-API-OR-MANUAL-CSV-EXPORT-10-01
