route,kind,group,content_status,runtime_status,api_status,api_latency_ms,answer_block_count,faq_count,section_count,internal_link_count,seo_present,canonical,robots,jsonld_types,sitemap,llms,llms_full,gsc_evidence_status
/zh/personality/intj-a,profile,NT,needs_content_repair,needs_runtime_repair,ok,22883,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/intj-t,profile,NT,needs_content_repair,needs_runtime_repair,ok,6359,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/intp-a,profile,NT,needs_content_repair,needs_runtime_repair,ok,13939,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/intp-t,profile,NT,needs_content_repair,needs_runtime_repair,ok,25066,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/entj-a,profile,NT,needs_content_repair,needs_runtime_repair,ok,25705,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/entj-t,profile,NT,needs_content_repair,needs_runtime_repair,ok,12990,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/entp-a,profile,NT,needs_content_repair,needs_runtime_repair,ok,12448,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/entp-t,profile,NT,needs_content_repair,needs_runtime_repair,ok,6162,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/infj-a,profile,NF,needs_content_repair,needs_runtime_repair,ok,11538,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/infj-t,profile,NF,needs_content_repair,needs_runtime_repair,ok,17907,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/infp-a,profile,NF,needs_content_repair,needs_runtime_repair,ok,16295,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/infp-t,profile,NF,needs_content_repair,needs_runtime_repair,ok,21717,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/enfj-a,profile,NF,needs_content_repair,needs_runtime_repair,ok,18527,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/enfj-t,profile,NF,needs_content_repair,needs_runtime_repair,ok,28080,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/enfp-a,profile,NF,needs_content_repair,needs_runtime_repair,ok,17320,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/enfp-t,profile,NF,needs_content_repair,needs_runtime_repair,ok,18238,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/istj-a,profile,SJ,verify_only,needs_runtime_repair,ok,19323,1,4,34,5,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,captured_existing_cohort
/zh/personality/istj-t,profile,SJ,needs_content_repair,needs_runtime_repair,ok,20359,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/isfj-a,profile,SJ,needs_content_repair,needs_runtime_repair,ok,12236,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/isfj-t,profile,SJ,needs_content_repair,needs_runtime_repair,ok,17296,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/estj-a,profile,SJ,needs_content_repair,needs_runtime_repair,ok,14182,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/estj-t,profile,SJ,needs_content_repair,needs_runtime_repair,ok,17993,1,0,24,0,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,external_evidence_pending
/zh/personality/esfj-a,profile,SJ,verify_only,needs_runtime_repair,ok,16220,1,4,34,5,true,true,"index, follow",AboutPage|Answer|BreadcrumbList|DefinedTerm|FAQPage|ListItem|Question|WebPage,true,true,false,captured_existing_cohort
