framework,entity_type,code,locale,slug,canonical_path,launch_state,robots,index_eligible,sitemap_eligible,llms_eligible,source
big_five,hub,big-five,zh-CN,big-five,/zh/personality/big-five,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,openness,zh-CN,big-five/openness,/zh/personality/big-five/openness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,conscientiousness,zh-CN,big-five/conscientiousness,/zh/personality/big-five/conscientiousness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,extraversion,zh-CN,big-five/extraversion,/zh/personality/big-five/extraversion,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,agreeableness,zh-CN,big-five/agreeableness,/zh/personality/big-five/agreeableness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,neuroticism,zh-CN,big-five/neuroticism,/zh/personality/big-five/neuroticism,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-openness,zh-CN,big-five/high-openness,/zh/personality/big-five/high-openness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-openness,zh-CN,big-five/low-openness,/zh/personality/big-five/low-openness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-conscientiousness,zh-CN,big-five/high-conscientiousness,/zh/personality/big-five/high-conscientiousness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-conscientiousness,zh-CN,big-five/low-conscientiousness,/zh/personality/big-five/low-conscientiousness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-extraversion,zh-CN,big-five/high-extraversion,/zh/personality/big-five/high-extraversion,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-extraversion,zh-CN,big-five/low-extraversion,/zh/personality/big-five/low-extraversion,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-agreeableness,zh-CN,big-five/high-agreeableness,/zh/personality/big-five/high-agreeableness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-agreeableness,zh-CN,big-five/low-agreeableness,/zh/personality/big-five/low-agreeableness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-neuroticism,zh-CN,big-five/high-neuroticism,/zh/personality/big-five/high-neuroticism,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,emotional-stability,zh-CN,big-five/emotional-stability,/zh/personality/big-five/emotional-stability,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,facet_hub,facets,zh-CN,big-five/facets,/zh/personality/big-five/facets,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,hub,big-five,en,big-five,/en/personality/big-five,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,openness,en,big-five/openness,/en/personality/big-five/openness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,conscientiousness,en,big-five/conscientiousness,/en/personality/big-five/conscientiousness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,extraversion,en,big-five/extraversion,/en/personality/big-five/extraversion,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,agreeableness,en,big-five/agreeableness,/en/personality/big-five/agreeableness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,domain,neuroticism,en,big-five/neuroticism,/en/personality/big-five/neuroticism,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-openness,en,big-five/high-openness,/en/personality/big-five/high-openness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-openness,en,big-five/low-openness,/en/personality/big-five/low-openness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-conscientiousness,en,big-five/high-conscientiousness,/en/personality/big-five/high-conscientiousness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-conscientiousness,en,big-five/low-conscientiousness,/en/personality/big-five/low-conscientiousness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-extraversion,en,big-five/high-extraversion,/en/personality/big-five/high-extraversion,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-extraversion,en,big-five/low-extraversion,/en/personality/big-five/low-extraversion,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-agreeableness,en,big-five/high-agreeableness,/en/personality/big-five/high-agreeableness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,low-agreeableness,en,big-five/low-agreeableness,/en/personality/big-five/low-agreeableness,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,high-neuroticism,en,big-five/high-neuroticism,/en/personality/big-five/high-neuroticism,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,polarity,emotional-stability,en,big-five/emotional-stability,/en/personality/big-five/emotional-stability,content_ready,"noindex,follow",False,False,False,codex_only_batch
big_five,facet_hub,facets,en,big-five/facets,/en/personality/big-five/facets,content_ready,"noindex,follow",False,False,False,codex_only_batch
