source_url,source_canonical,source_surface,source_locale,http_status,render_success,final_url,target_href,resolved_target,normalized_target,target_canonical,target_surface,target_locale,anchor_text,aria_label,link_position,dom_region,relation_type,visible,follow,same_locale,cross_locale,internal,external,tracking_parameters,private_route_risk,in_corpus,captured_at,evidence_level
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/,https://fermatmind.com/,https://fermatmind.com/,https://fermatmind.com/,homepage,none,费马测试,,1,header/navigation,observed_navigation,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/tests,https://fermatmind.com/zh/tests,https://fermatmind.com/zh/tests,https://fermatmind.com/zh/tests,assessment_hub,zh,测试,,2,header/navigation,observed_navigation,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/articles,https://fermatmind.com/zh/articles,https://fermatmind.com/zh/articles,https://fermatmind.com/zh/articles,article_hub,zh,文章,,3,header/navigation,observed_navigation,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/personality,https://fermatmind.com/zh/personality,https://fermatmind.com/zh/personality,https://fermatmind.com/zh/personality,personality_hub,zh,人格,,4,header/navigation,observed_navigation,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/career,https://fermatmind.com/zh/career,https://fermatmind.com/zh/career,https://fermatmind.com/zh/career,career_hub,zh,职业,,5,header/navigation,observed_navigation,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/support,https://fermatmind.com/zh/support,https://fermatmind.com/zh/support,https://fermatmind.com/zh/support,content_page,zh,帮助,,6,header/navigation,observed_navigation,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/business,https://fermatmind.com/zh/business,https://fermatmind.com/zh/business,https://fermatmind.com/zh/business,content_page,zh,企业版,,7,header/navigation,observed_navigation,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,assessment_landing,zh,免费测试→,,10,inline contextual,observed_contextual,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,https://fermatmind.com/zh/tests/mbti-personality-test-16-personality-types,assessment_landing,zh,MBTI 性格测试★★★★★想了解自己的性格吗？看看你的偏好、沟通方式和决策风格。 开始 MBTI 免费测试。93-144 题约 12-20 分钟,,11,inline contextual,observed_contextual,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,https://fermatmind.com/zh/tests/big-five-personality-test-ocean-model,assessment_landing,zh,大五人格测试★★★★★想知道你的稳定特质吗？从五个维度了解你平时如何行动和反应。 开始大五人格免费测试。60-120 题约 10-18 分钟,,12,inline contextual,observed_contextual,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,https://fermatmind.com/zh/tests/holland-career-interest-test-riasec,assessment_landing,zh,霍兰德职业兴趣测试★★★★★想知道什么工作更吸引你吗？看看你的兴趣类型和偏好的工作环境。 开始霍兰德职业兴趣免费测试。60 / 140 题约 8 / 18 分钟,,13,inline contextual,observed_contextual,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
https://fermatmind.com/,https://fermatmind.com/,homepage,none,200,true,https://fermatmind.com/,/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,https://fermatmind.com/zh/tests/enneagram-personality-test-nine-types,assessment_landing,zh,九型人格测试★★★★★你的核心动机是什么？看看压力、关系和成长中的常见反应模式。 开始九型人格免费测试。105 / 144 题约 15 / 40 分钟,,14,inline contextual,observed_contextual,true,true,,false,true,false,[],false,true,2026-08-10T04:05:15.521Z,VERIFIED_RENDERED_DOM_OBSERVATION
