url,locale,entity_type,code,status,api_status,word_count,sections,faq,links,evidence,depth_score,ux_score,rigor_score,private_hits,internal_hits,unsafe_no_go_hits,cta_present,faq_visible,method_boundary,media_status,media_alt,summary_chars,title,summary
https://www.fermatmind.com/zh/personality/big-five,zh-CN,hub,big-five,200,200,648,12,5,7,3,8,10,8,0,0,0,true,true,true,placeholder,大五人格的大五人格中性占位图，不使用 MBTI 品牌视觉。,45,大五人格,大五人格用开放性、尽责性、外向性、宜人性和神经质五个连续维度，帮助描述人格差异与沟通偏好。
https://www.fermatmind.com/zh/personality/big-five/openness,zh-CN,domain,openness,200,200,664,12,5,5,3,9,10,8,0,0,0,true,true,true,placeholder,开放性的大五人格中性占位图，不使用 MBTI 品牌视觉。,48,开放性,开放性描述新经验、想象、审美、抽象想法和变化等稳定倾向，帮助理解学习、沟通和适应不同场景的方式。
https://www.fermatmind.com/zh/personality/big-five/conscientiousness,zh-CN,domain,conscientiousness,200,200,671,12,5,5,3,9,10,8,0,0,0,true,true,true,placeholder,尽责性的大五人格中性占位图，不使用 MBTI 品牌视觉。,48,尽责性,尽责性描述秩序、自律、责任、计划、执行和审慎等稳定倾向，帮助理解学习、沟通和适应不同场景的方式。
https://www.fermatmind.com/zh/personality/big-five/extraversion,zh-CN,domain,extraversion,200,200,678,12,5,5,3,9,10,8,0,0,0,true,true,true,placeholder,外向性的大五人格中性占位图，不使用 MBTI 品牌视觉。,53,外向性,外向性描述社交能量、表达、活动节奏、刺激需求和外部反馈等稳定倾向，帮助理解学习、沟通和适应不同场景的方式。
https://www.fermatmind.com/zh/personality/big-five/agreeableness,zh-CN,domain,agreeableness,200,200,669,12,5,5,3,9,10,8,0,0,0,true,true,true,placeholder,宜人性的大五人格中性占位图，不使用 MBTI 品牌视觉。,49,宜人性,宜人性描述信任、合作、共情、边界、冲突和直接性等稳定倾向，帮助理解学习、沟通和适应不同场景的方式。
https://www.fermatmind.com/zh/personality/big-five/neuroticism,zh-CN,domain,neuroticism,200,200,710,12,5,5,3,9,10,8,0,0,0,true,true,true,placeholder,神经质 / 情绪敏感性的大五人格中性占位图，不使用 MBTI 品牌视觉。,58,神经质 / 情绪敏感性,神经质 / 情绪敏感性描述压力反应、风险预警、情绪波动和恢复成本等稳定倾向，帮助理解学习、沟通和适应不同场景的方式。
https://www.fermatmind.com/zh/personality/big-five/high-openness,zh-CN,polarity,high-openness,200,200,672,11,5,5,3,8,10,8,0,0,0,true,true,true,placeholder,高开放性的大五人格中性占位图，不使用 MBTI 品牌视觉。,53,高开放性,高开放性描述探索新想法、尝试不同路径、保留想象空间的倾向；它不是优劣判断，而是帮助理解场景适配和沟通策略。
https://www.fermatmind.com/zh/personality/big-five/low-openness,zh-CN,polarity,low-openness,200,200,1083,11,5,5,3,9,10,10,0,1,0,true,true,true,placeholder,低开放性的大五人格中性占位图，不使用 MBTI 品牌视觉。,55,低开放性,低开放性描述偏好熟悉路径、重视可验证经验、降低变化成本的倾向；它不是优劣判断，而是帮助理解场景适配和沟通策略。
https://www.fermatmind.com/zh/personality/big-five/high-conscientiousness,zh-CN,polarity,high-conscientiousness,200,200,675,11,5,5,3,8,10,8,0,0,0,true,true,true,placeholder,高尽责性的大五人格中性占位图，不使用 MBTI 品牌视觉。,50,高尽责性,高尽责性描述计划清楚、承诺稳定、提前检查风险的倾向；它不是优劣判断，而是帮助理解场景适配和沟通策略。
https://www.fermatmind.com/zh/personality/big-five/low-conscientiousness,zh-CN,polarity,low-conscientiousness,200,200,1092,11,5,5,3,9,10,10,0,1,0,true,true,true,placeholder,低尽责性的大五人格中性占位图，不使用 MBTI 品牌视觉。,52,低尽责性,低尽责性描述保留弹性、减少过度控制、在变化中调整的倾向；它不是优劣判断，而是帮助理解场景适配和沟通策略。
